,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,match_id,eventType,cumulative_mins,index,id,home_team_id,away_team_id,ftScore,match_date,progressive_pass,xThreat,xThreat_gen,lead_to_shot,lead_to_goal,key_pass,isAssist,isCross,isCorner,isFreekick,isGoalkick,is_offensive,is_bigchance,is_penalty,is_own_goal,X,Y,EndX,EndY,BlockedX,BlockedY,GoalMouthY,isblocked,body,isShotonTarget,name,short_name,team_id,team_name,min,key,Outcome,xG,Player,Minute
10,703.0,54,55.0,37,74.8,45.8,58.0,2.0,SavedShot,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '440'}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '49.2'}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '702'}, {'type': {'value': 22, 'displayName': 'RegularPlay'}}, {'type': {'value': 146, 'displayName': 'BlockedX'}, 'value': '85.8'}, {'type': {'value': 82, 'displayName': 'Blocked'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 29, 'displayName': 'Assisted'}}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '19'}, {'type': {'value': 78, 'displayName': 'LowCentre'}}, {'type': {'value': 18, 'displayName': 'OutOfBoxCentre'}}, {'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 147, 'displayName': 'BlockedY'}, 'value': '47.3'}]","[91, 10, 2, 3, 11, 12]",True,37099.0,,,85.8,47.3,19.0,49.2,True,702.0,283323.0,,,0.0,1743445,SavedShot,57.916666666666664,1067.0,2602376223.0,37.0,50.0,3-0,08 October 2023,,,,,,False,,False,,,,,,,False,89.75999999999999,36.64,,,102.96,37.839999999999996,39.36000000000001,True,foot_right,True,Thomas Müller,T.Müller,37,Bayern,55,5474.845.8,AttemptSaved,0.04084610939025879,Thomas Müller,55
11,734.0,56,51.0,37,89.2,52.9,60.0,2.0,MissedShots,Successful,"[{'type': {'value': 29, 'displayName': 'Assisted'}}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '64.4'}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '733'}, {'type': {'value': 22, 'displayName': 'RegularPlay'}}, {'type': {'value': 73, 'displayName': 'MissLeft'}}, {'type': {'value': 154, 'displayName': 'IntentionalAssist'}}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '11.1'}, {'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 17, 'displayName': 'BoxCentre'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 7, 90, 10, 1, 3, 12]",True,37099.0,,,,,11.1,64.4,True,733.0,83532.0,,,0.0,1743445,MissedShots,59.85,1106.0,2602379287.0,37.0,50.0,3-0,08 October 2023,,,,,,False,,False,,,,,,,False,107.04,42.32,,,,,51.52000000000001,,foot_right,False,Thomas Müller,T.Müller,37,Bayern,57,5689.252.9,Miss,0.15266433358192444,Thomas Müller,57
12,755.0,58,37.0,37,89.7,28.0,62.0,2.0,SavedShot,Successful,"[{'type': {'value': 82, 'displayName': 'Blocked'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '468'}, {'type': {'value': 29, 'displayName': 'Assisted'}}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '19'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '754'}, {'type': {'value': 78, 'displayName': 'LowCentre'}}, {'type': {'value': 146, 'displayName': 'BlockedX'}, 'value': '91.1'}, {'type': {'value': 63, 'displayName': 'BoxRight'}}, {'type': {'value': 22, 'displayName': 'RegularPlay'}}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '51.8'}, {'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 147, 'displayName': 'BlockedY'}, 'value': '31.2'}]","[91, 10, 1, 3, 11, 12]",True,125883.0,,,91.1,31.2,19.0,51.8,True,754.0,283323.0,,,0.0,1743445,SavedShot,61.61666666666667,1139.0,2602381801.0,37.0,50.0,3-0,08 October 2023,,,,,,False,,False,,,,,,,False,107.64,22.400000000000002,,,109.32,24.96,41.44,True,foot_right,True,Kingsley Coman,K.Coman,37,Bayern,59,5889.728.0,AttemptSaved,0.017537839710712433,Kingsley Coman,59
13,791.0,62,8.0,37,78.8,67.9,66.0,2.0,SavedShot,Successful,"[{'type': {'value': 29, 'displayName': 'Assisted'}}, {'type': {'value': 22, 'displayName': 'RegularPlay'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '481'}, {'type': {'value': 18, 'displayName': 'OutOfBoxCentre'}}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '790'}, {'type': {'value': 82, 'displayName': 'Blocked'}}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '50.4'}, {'type': {'value': 147, 'displayName': 'BlockedY'}, 'value': '61.4'}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '19'}, {'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 146, 'displayName': 'BlockedX'}, 'value': '86.7'}, {'type': {'value': 78, 'displayName': 'LowCentre'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 10, 2, 3, 11, 12]",True,320040.0,,,86.7,61.4,19.0,50.4,True,790.0,370912.0,,,0.0,1743445,SavedShot,65.13333333333333,1185.0,2602386219.0,37.0,50.0,3-0,08 October 2023,,,,,,False,,False,,,,,,,False,94.55999999999999,54.32000000000001,,,104.04,49.120000000000005,40.32,True,foot_right,True,Alphonso Davies,A.Davies,37,Bayern,63,6278.867.9,AttemptSaved,0.021258557215332985,Alphonso Davies,63
14,810.0,63,39.0,37,87.4,62.2,67.0,2.0,SavedShot,Successful,"[{'type': {'value': 154, 'displayName': 'IntentionalAssist'}}, {'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 76, 'displayName': 'LowLeft'}}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '53.2'}, {'type': {'value': 22, 'displayName': 'RegularPlay'}}, {'type': {'value': 17, 'displayName': 'BoxCentre'}}, {'type': {'value': 29, 'displayName': 'Assisted'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 82, 'displayName': 'Blocked'}}, {'type': {'value': 146, 'displayName': 'BlockedX'}, 'value': '90.8'}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '809'}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '19'}, {'type': {'value': 147, 'displayName': 'BlockedY'}, 'value': '59.8'}]","[91, 10, 1, 3, 11, 12]",True,83532.0,,,90.8,59.8,19.0,53.2,True,809.0,125883.0,,,0.0,1743445,SavedShot,66.65,1209.0,2602387797.0,37.0,50.0,3-0,08 October 2023,,,,,,False,,False,,,,,,,False,104.88000000000001,49.760000000000005,,,108.96,47.84,42.56,True,foot_right,False,Harry Kane,H.Kane,37,Bayern,64,6387.462.2,AttemptSaved,0.07138349115848541,Harry Kane,64
15,865.0,67,5.0,37,85.5,28.0,71.0,2.0,MissedShots,Successful,"[{'type': {'value': 29, 'displayName': 'Assisted'}}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '52.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '54.2'}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '864'}, {'type': {'value': 63, 'displayName': 'BoxRight'}}, {'type': {'value': 22, 'displayName': 'RegularPlay'}}, {'type': {'value': 72, 'displayName': 'LeftFoot'}}]","[91, 7, 90, 10, 85, 1, 3, 13]",True,125883.0,,,,,54.2,52.3,True,864.0,283323.0,,,0.0,1743445,MissedShots,70.08333333333333,1282.0,2602390915.0,37.0,50.0,3-0,08 October 2023,,,,,,False,,False,,,,,,,False,102.6,22.400000000000002,,,,,41.84,,foot_left,False,Kingsley Coman,K.Coman,37,Bayern,68,6785.528.0,Miss,0.047676797956228256,Kingsley Coman,68
16,872.0,68,23.0,37,94.8,51.2,72.0,2.0,SavedShot,Successful,"[{'type': {'value': 147, 'displayName': 'BlockedY'}, 'value': '50.9'}, {'type': {'value': 154, 'displayName': 'IntentionalAssist'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '523'}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '19'}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '871'}, {'type': {'value': 16, 'displayName': 'SmallBoxCentre'}}, {'type': {'value': 72, 'displayName': 'LeftFoot'}}, {'type': {'value': 100, 'displayName': 'SixYardBlock'}}, {'type': {'value': 29, 'displayName': 'Assisted'}}, {'type': {'value': 146, 'displayName': 'BlockedX'}, 'value': '96.3'}, {'type': {'value': 82, 'displayName': 'Blocked'}}, {'type': {'value': 22, 'displayName': 'RegularPlay'}}, {'type': {'value': 78, 'displayName': 'LowCentre'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '50.2'}]","[91, 10, 140, 0, 3, 11, 13]",True,125883.0,,,96.3,50.9,19.0,50.2,True,871.0,144711.0,,,0.0,1743445,SavedShot,71.38333333333334,1296.0,2602391961.0,37.0,50.0,3-0,08 October 2023,,,,,,False,,False,,,,,,,False,113.75999999999999,40.96000000000001,,,115.55999999999999,40.72,40.160000000000004,True,foot_left,True,Kingsley Coman,K.Coman,37,Bayern,69,6894.851.2,AttemptSaved,0.2816578447818756,Kingsley Coman,69
17,899.0,70,5.0,37,88.3,41.9,74.0,2.0,SavedShot,Successful,"[{'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '898'}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '3.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 147, 'displayName': 'BlockedY'}, 'value': '48.9'}, {'type': {'value': 154, 'displayName': 'IntentionalAssist'}}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '46.9'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '529'}, {'type': {'value': 22, 'displayName': 'RegularPlay'}}, {'type': {'value': 29, 'displayName': 'Assisted'}}, {'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 146, 'displayName': 'BlockedX'}, 'value': '98.8'}, {'type': {'value': 80, 'displayName': 'LowRight'}}, {'type': {'value': 17, 'displayName': 'BoxCentre'}}]","[91, 9, 10, 1, 3, 12]",True,125883.0,,,98.8,48.9,3.8,46.9,True,898.0,144711.0,,,0.0,1743445,SavedShot,73.08333333333333,1327.0,2602393369.0,37.0,50.0,3-0,08 October 2023,,,,,,False,,False,,,,,,,False,105.96,33.52,,,118.55999999999999,39.120000000000005,37.52,,foot_right,True,Kingsley Coman,K.Coman,37,Bayern,71,7088.341.9,AttemptSaved,0.11728006601333618,Kingsley Coman,71
18,950.0,74,14.0,37,84.4,45.1,78.0,2.0,SavedShot,Successful,"[{'type': {'value': 147, 'displayName': 'BlockedY'}, 'value': '45.8'}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '948'}, {'type': {'value': 22, 'displayName': 'RegularPlay'}}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '48.1'}, {'type': {'value': 72, 'displayName': 'LeftFoot'}}, {'type': {'value': 82, 'displayName': 'Blocked'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '549'}, {'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '19'}, {'type': {'value': 29, 'displayName': 'Assisted'}}, {'type': {'value': 80, 'displayName': 'LowRight'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 17, 'displayName': 'BoxCentre'}}, {'type': {'value': 146, 'displayName': 'BlockedX'}, 'value': '88.2'}]","[91, 10, 1, 3, 11, 13]",True,144711.0,,,88.2,45.8,19.0,48.1,True,948.0,125883.0,,,0.0,1743445,SavedShot,77.23333333333333,1394.0,2602396587.0,37.0,50.0,3-0,08 October 2023,,,,,,False,,False,,,,,,,False,101.28,36.080000000000005,,,105.84,36.64,38.480000000000004,True,foot_left,True,Leroy Sané,L.Sané,37,Bayern,75,7484.445.1,AttemptSaved,0.102382592856884,Leroy Sané,75
19,1053.0,82,22.0,37,82.7,46.5,86.0,2.0,SavedShot,Successful,"[{'type': {'value': 103, 'displayName': 'GoalMouthZ'}, 'value': '5.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '608'}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '1052'}, {'type': {'value': 80, 'displayName': 'LowRight'}}, {'type': {'value': 29, 'displayName': 'Assisted'}}, {'type': {'value': 154, 'displayName': 'IntentionalAssist'}}, {'type': {'value': 102, 'displayName': 'GoalMouthY'}, 'value': '46.1'}, {'type': {'value': 146, 'displayName': 'BlockedX'}, 'value': '99.8'}, {'type': {'value': 22, 'displayName': 'RegularPlay'}}, {'type': {'value': 18, 'displayName': 'OutOfBoxCentre'}}, {'type': {'value': 20, 'displayName': 'RightFoot'}}, {'type': {'value': 147, 'displayName': 'BlockedY'}, 'value': '50.9'}]","[91, 9, 10, 2, 3, 12]",True,115519.0,,,99.8,50.9,5.7,46.1,True,1052.0,144711.0,,,0.0,1743445,SavedShot,85.36666666666666,1543.0,2602404725.0,37.0,50.0,3-0,08 October 2023,,,,,,False,,False,,,,,,,False,99.24,37.2,,,119.75999999999999,40.72,36.88,,foot_right,True,Leon Goretzka,L.Goretzka,37,Bayern,83,8282.746.5,AttemptSaved,0.07386602461338043,Leon Goretzka,83
