,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,match_id,eventType,cumulative_mins,index,id,home_team_id,away_team_id,ftScore,match_date,progressive_pass,xThreat,xThreat_gen,lead_to_shot,lead_to_goal,key_pass,isAssist,isCross,isCorner,isFreekick,isGoalkick,is_offensive,is_bigchance,is_penalty,is_own_goal,X,Y,EndX,EndY,BlockedX,BlockedY,GoalMouthY,isblocked,body,isShotonTarget,name,short_name,team_id,team_name
10,8.0,0.0,51.0,167,14.6,90.0,0.0,1.0,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.09'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '71.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '5.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,122945.0,5.9,71.3,,,,,,,,,,0.0,1729305,Pass,0.85,10.0,2602287829.0,13.0,167.0,1-0,08 October 2023,,0.0005445484211764311,0.0005445484211764311,,False,False,,False,,,,,,,False,17.52,72.0,7.08,57.04,,,,,,False,Nathan Aké,N.Aké,167,Man City
11,9.0,0.0,53.0,167,5.2,71.1,0.0,1.0,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '71.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '57.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '59.5'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.00'}]","[91, 120, 128, 36, 37, 216, 218]",True,121774.0,59.5,71.3,,,,,,,,,,0.0,1729305,Pass,0.8833333333333333,11.0,2602287911.0,13.0,167.0,1-0,08 October 2023,True,,,,False,False,,False,,,,,,,False,6.24,56.879999999999995,71.39999999999999,57.04,,,,,,False,Ederson,E.Ederson,167,Man City
12,8.0,0.0,57.0,13,39.4,26.8,0.0,1.0,Aerial,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '10'}]","[197, 200]",False,361822.0,,,,,,,,,,,,0.0,1729305,Aerial,0.95,12.0,2602287919.0,13.0,167.0,1-0,08 October 2023,,,,,False,False,,False,,,,,,,False,47.279999999999994,21.44,,,,,,,,False,William Saliba,W.Saliba,13,Arsenal
13,10.0,0.0,57.0,167,60.6,73.2,0.0,1.0,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[198, 199]",False,315227.0,,,,,,,,,,,,0.0,1729305,Aerial,0.95,13.0,2602287917.0,13.0,167.0,1-0,08 October 2023,,,,,False,False,,False,,,,True,,,False,72.72,58.56,,,,,,,,False,Erling Haaland,E.Haaland,167,Man City
14,9.0,0.0,58.0,13,38.3,25.0,0.0,1.0,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '4.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.51'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.2'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 119, 117, 30, 139, 36, 38, 216, 218]",True,361822.0,52.0,4.2,,,,,,,,,,0.0,1729305,Pass,0.9666666666666667,14.0,2602287983.0,13.0,167.0,1-0,08 October 2023,,0.001597765394967041,0.001597765394967041,,False,False,,False,,,,,,,False,45.959999999999994,20.0,62.4,3.3600000000000003,,,,,head,False,William Saliba,W.Saliba,13,Arsenal
15,9.5,0.0,59.0,13,52.0,4.2,0.0,1.0,"{'value': 99, 'displayName': 'Carry'}",Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,279379.0,44.2,5.9,,,,,,10.0,,,,,1729305,Carry,0.9833333333333334,,,,,,,,-0.0019137240690690702,0.0,,False,False,,False,,,,,,,False,62.4,3.3600000000000003,53.04,4.720000000000001,,,,,foot,False,Gabriel Jesus,G.Jesus,13,Arsenal
16,10.0,1.0,0.0,13,44.2,5.9,1.0,1.0,BallTouch,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 69]",True,279379.0,,,,,,,,,,,,0.0,1729305,BallTouch,1.0,15.0,2602288003.0,13.0,167.0,1-0,08 October 2023,,,,,False,False,,False,,,,,,,False,53.04,4.720000000000001,,,,,,,,False,Gabriel Jesus,G.Jesus,13,Arsenal
17,11.0,1.0,1.0,167,58.3,90.9,1.0,1.0,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.16'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '46.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '90.6'}]","[91, 117, 30, 35, 38, 216, 218]",True,93894.0,46.5,90.6,,,,,,,,,,0.0,1729305,Pass,1.0166666666666666,16.0,2602288027.0,13.0,167.0,1-0,08 October 2023,,-0.0033712507678173714,0.0,,False,False,,False,,,,,,,False,69.96,72.72000000000001,55.8,72.48,,,,,,False,Mateo Kovacic,M.Kovacic,167,Man City
18,12.0,1.0,3.0,167,46.7,90.6,1.0,1.0,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '55.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.02'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '53.9'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,402664.0,53.9,55.4,,,,,,,,,,0.0,1729305,Pass,1.05,17.0,2602288051.0,13.0,167.0,1-0,08 October 2023,,0.0037678336630850087,0.0037678336630850087,,False,False,,False,,,,,,,False,56.04,72.48,64.67999999999999,44.32,,,,,,False,Josko Gvardiol,J.Gvardiol,167,Man City
19,13.0,1.0,5.0,167,53.9,55.4,1.0,1.0,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '53.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.68'}]","[91, 119, 117, 30, 35, 38, 216, 218]",True,444791.0,53.4,31.3,,,,,,,,,,0.0,1729305,Pass,1.0833333333333333,18.0,2602288089.0,13.0,167.0,1-0,08 October 2023,,-0.0002059673482040572,0.0,,False,False,,False,,,,,,,False,64.67999999999999,44.32,64.08,25.040000000000003,,,,,,False,Rico Lewis,R.Lewis,167,Man City
